transcript_id	gene_id	count
NM_007274	ACOT7	511
NM_181864	ACOT7	276
NM_181865	ACOT7	31
NM_181866	ACOT7	405
NM_005469	ACOT8	605
NM_001033583	ACOT9	1441
NM_001037171	ACOT9	11
NM_001330259	ACOT9	136
NM_001185039	ACOX1	236
NM_004035	ACOX1	878
NM_007292	ACOX1	1010
NM_003500	ACOX2	22
NM_001101667	ACOX3	10
NM_001375783	ACOX3	118
NM_001375784	ACOX3	0
NM_001375785	ACOX3	0
NM_001375786	ACOX3	0
NM_001375787	ACOX3	0
NM_001375788	ACOX3	54
NM_001375789	ACOX3	34
NM_001375790	ACOX3	9
NM_003501	ACOX3	26
NM_001142807	ACOXL	422
NM_001365487	ACOXL	111
NM_001371254	ACOXL	156
NR_122074	ACOXL-AS1	56
NM_001040649	ACP1	31
NM_004300	ACP1	2712
NM_007099	ACP1	770
NR_024080	ACP1	217
NM_001302489	ACP2	0
NM_001302490	ACP2	0
NM_001302491	ACP2	0
NM_001302492	ACP2	38
NM_001357016	ACP2	330
NM_001610	ACP2	330
NM_001099	ACP3	67
NM_001134194	ACP3	28
NM_001292037	ACP3	0
NM_033068	ACP4	10
NM_001111034	ACP5	104
NM_001111035	ACP5	95
NM_001111036	ACP5	172
NM_001322023	ACP5	20
NM_001611	ACP5	0
NM_001323625	ACP6	324
NM_016361	ACP6	173
NR_136633	ACP6	0
NR_136634	ACP6	0
NR_136635	ACP6	0
NR_136636	ACP6	55
NM_001004318	ACP7	20
NM_001363687	ACP7	13
NM_001097	ACR	0
NM_032489	ACRBP	5
NM_001612	ACRV1	62
NM_020069	ACRV1	0
NM_020107	ACRV1	0
NM_020108	ACRV1	0
NM_001199377	ACSBG1	25
NM_015162	ACSBG1	432
NM_001289177	ACSBG2	0
NM_001289178	ACSBG2	0
NM_001289179	ACSBG2	0
NM_001289180	ACSBG2	7
NM_001321384	ACSBG2	0
NM_030924	ACSBG2	0
NM_001288968	ACSF2	0
NM_001288969	ACSF2	0
NM_001288970	ACSF2	10
NM_001288971	ACSF2	21
NM_001288972	ACSF2	0
NM_025149	ACSF2	291
NR_110232	ACSF2	6
NM_001127214	ACSF3	172
NM_001243279	ACSF3	69
NM_001284316	ACSF3	18
NM_174917	ACSF3	0
NR_045667	ACSF3	5
NR_104293	ACSF3	76
NR_147928	ACSF3	38
NR_147929	ACSF3	168
NM_001286708	ACSL1	0
NM_001286710	ACSL1	27
NM_001286711	ACSL1	0
NM_001381877	ACSL1	0
NM_001381878	ACSL1	0
NM_001381879	ACSL1	0
NM_001381880	ACSL1	0
NM_001381881	ACSL1	43
NM_001381882	ACSL1	444
NM_001381883	ACSL1	32
NM_001381884	ACSL1	0
NM_001381885	ACSL1	0
NM_001381886	ACSL1	3
NM_001381887	ACSL1	2
NM_001381888	ACSL1	0
NM_001381889	ACSL1	0
NM_001381890	ACSL1	0
NM_001995	ACSL1	0
NR_167698	ACSL1	0
NR_167702	ACSL1	0
NR_167703	ACSL1	0
NR_167704	ACSL1	0
NR_167705	ACSL1	0
NR_167706	ACSL1	0
NR_167708	ACSL1	0
NR_167709	ACSL1	0
NM_001354158	ACSL3	248
NM_001354159	ACSL3	663
NM_004457	ACSL3	3444
NM_203372	ACSL3	6457
NM_001318509	ACSL4	2322
NM_001318510	ACSL4	4352
NM_004458	ACSL4	1550
NM_022977	ACSL4	527
NM_001387037	ACSL5	0
NM_016234	ACSL5	0
NM_203379	ACSL5	23
NM_203380	ACSL5	0
NM_001009185	ACSL6	83
NM_001205247	ACSL6	54
NM_001205248	ACSL6	45
NM_001205250	ACSL6	115
NM_001205251	ACSL6	0
NM_015256	ACSL6	0
NM_001318890	ACSM1	0
NM_052956	ACSM1	23
NR_134918	ACSM1	3
NM_001308169	ACSM2A	0
NM_001308172	ACSM2A	0
NM_001308954	ACSM2A	4
NM_001105069	ACSM2B	1
NM_182617	ACSM2B	0
NM_005622	ACSM3	20
NM_202000	ACSM3	46
NM_001080454	ACSM4	0
NM_001324371	ACSM5	0
NM_001324372	ACSM5	0
NM_001324373	ACSM5	0
